#1:k(h/Mpc)	2:d_g	3:d_b	4:d_cdm	5:d_ur	6:d_tot	7:phi	8:psi	9:t_g	10:t_b	11:t_cdm	12:t_ur	13:t_tot
1.045004358465e-05	0.0	-1.2	-1.2043055531091966	0.0	-1.1994915519101872	0.599898939148138	0.599898939148138	0.0	0.0	1.3102975771099865e-09	0.0	1.3050598912992869e-09
1.315582542307e-05	0.0	-1.2	-1.2043055761285273	0.0	-1.199491574837502	0.5998989391349435	0.5998989391349435	0.0	0.0	2.0766817100420885e-09	0.0	2.068380537456532e-09
1.656220293823e-05	0.0	-1.2	-1.2043056126116982	0.0	-1.199491611174838	0.5998989391140328	0.5998989391140328	0.0	0.0	3.291318705110876e-09	0.0	3.2781622331907557e-09
2.085057815424e-05	0.0	-1.2	-1.2043056704336148	0.0	-1.1994916687656214	0.5998989390808929	0.5998989390808929	0.0	0.0	5.216388609846546e-09	0.0	5.1955370070639565e-09
2.624932268897e-05	0.0	-1.2	-1.2043057620752224	0.0	-1.1994917600409079	0.5998989390283567	0.5998989390283567	0.0	0.0	8.26741879670448e-09	0.0	8.234371233403539e-09
3.304593937553e-05	0.0	-1.2	-1.2043059073173445	0.0	-1.1994919047024497	0.5998989389451073	0.5998989389451073	0.0	0.0	1.310297576943916e-08	0.0	1.3050598911338802e-08
4.160237283646e-05	0.0	-1.2	-1.2043061375106054	0.0	-1.1994921339755533	0.5998989388131587	0.5998989388131587	0.0	0.0	2.076681709624713e-08	0.0	2.0683805370408248e-08
5.237428435475e-05	0.0	-1.2	-1.2043065023423365	0.0	-1.1994924973489332	0.5998989386040419	0.5998989386040419	0.0	0.0	3.291318704061018e-08	0.0	3.278162232145094e-08
6.593531749873e-05	0.0	-1.2	-1.2043070805616698	0.0	-1.1994930732569355	0.599898938272603	0.599898938272603	0.0	0.0	5.2163886072043156e-08	0.0	5.195537004432287e-08
8.300764673387e-05	0.0	-1.2	-1.2043079969775337	0.0	-1.1994939860095872	0.5998989377473175	0.5998989377473175	0.0	0.0	8.26741879007069e-08	0.0	8.234371226796268e-08
0.0001045004358465	0.0	-1.2	-1.2043094493988027	0.0	-1.1994954326250558	0.5998989369147933	0.5998989369147933	0.0	0.0	1.3102975752777365e-07	0.0	1.305059889474361e-07
